,number,lumiblock,run,era
3995,242448338.0,285.0,302494.0,JetHT_Run2017D
3996,250206163.0,294.0,302494.0,JetHT_Run2017D
3997,215675752.0,253.0,302494.0,JetHT_Run2017D
3998,216710989.0,254.0,302494.0,JetHT_Run2017D
3999,218028648.0,256.0,302494.0,JetHT_Run2017D
4000,222519545.0,261.0,302494.0,JetHT_Run2017D
4001,228018444.0,267.0,302494.0,JetHT_Run2017D
4002,233855561.0,274.0,302494.0,JetHT_Run2017D
4003,234539970.0,275.0,302494.0,JetHT_Run2017D
4004,329387645.0,391.0,302494.0,JetHT_Run2017D
9921,203091035.0,145.0,304616.0,JetHT_Run2017E
9922,204118277.0,145.0,304616.0,JetHT_Run2017E
9923,203172969.0,145.0,304616.0,JetHT_Run2017E
9924,206607072.0,147.0,304616.0,JetHT_Run2017E
9925,210641374.0,149.0,304616.0,JetHT_Run2017E
9926,211178773.0,149.0,304616.0,JetHT_Run2017E
9927,213638650.0,150.0,304616.0,JetHT_Run2017E
9928,213218104.0,150.0,304616.0,JetHT_Run2017E
9929,215357909.0,151.0,304616.0,JetHT_Run2017E
9930,215617265.0,151.0,304616.0,JetHT_Run2017E
9931,245191800.0,167.0,304616.0,JetHT_Run2017E
9932,255140384.0,172.0,304616.0,JetHT_Run2017E
9933,259702030.0,175.0,304616.0,JetHT_Run2017E
9934,261134075.0,175.0,304616.0,JetHT_Run2017E
9935,266707555.0,179.0,304616.0,JetHT_Run2017E
9936,284077405.0,188.0,304616.0,JetHT_Run2017E
9937,116644049.0,101.0,304616.0,JetHT_Run2017E
9938,116691018.0,101.0,304616.0,JetHT_Run2017E
9939,125874570.0,106.0,304616.0,JetHT_Run2017E
9940,129553855.0,108.0,304616.0,JetHT_Run2017E
9941,135581226.0,111.0,304616.0,JetHT_Run2017E
9942,136059435.0,111.0,304616.0,JetHT_Run2017E
9943,157660692.0,122.0,304616.0,JetHT_Run2017E
9944,159226396.0,123.0,304616.0,JetHT_Run2017E
9945,160393951.0,124.0,304616.0,JetHT_Run2017E
9946,160483801.0,124.0,304616.0,JetHT_Run2017E
9947,164303837.0,126.0,304616.0,JetHT_Run2017E
9948,181810089.0,134.0,304616.0,JetHT_Run2017E
9949,182604065.0,135.0,304616.0,JetHT_Run2017E
9950,182191068.0,135.0,304616.0,JetHT_Run2017E
9951,183386029.0,135.0,304616.0,JetHT_Run2017E
9952,184610705.0,136.0,304616.0,JetHT_Run2017E
