,<0.001,<0.0010722672220103231,<0.0011497569953977356,<0.0012328467394420659,<0.0013219411484660286,<0.0014174741629268048,<0.0015199110829529332,<0.0016297508346206436,<0.001747528400007683,<0.001873817422860383,<0.002009233002565048,<0.0021544346900318843,<0.0023101297000831605,<0.0024770763559917113,<0.0026560877829466868,<0.002848035868435802,<0.0030538555088334154,<0.0032745491628777285,<0.003511191734215131,<0.0037649358067924675,<0.004037017258596553,<0.004328761281083057,<0.004641588833612782,<0.004977023564332114,<0.005336699231206312,<0.00572236765935022,<0.006135907273413176,<0.006579332246575682,<0.007054802310718645,<0.007564633275546291,<0.008111308307896872,<0.008697490026177835,<0.0093260334688322,<0.01,<0.010722672220103232,<0.011497569953977356,<0.012328467394420659,<0.013219411484660293,<0.014174741629268055,<0.01519911082952934,<0.016297508346206444,<0.01747528400007684,<0.01873817422860384,<0.02009233002565047,<0.021544346900318846,<0.023101297000831605,<0.024770763559917114,<0.026560877829466867,<0.02848035868435802,<0.030538555088334154,<0.03274549162877728,<0.03511191734215131,<0.037649358067924674,<0.04037017258596556,<0.04328761281083059,<0.046415888336127795,<0.049770235643321115,<0.0533669923120631,<0.05722367659350217,<0.06135907273413173,<0.06579332246575682,<0.07054802310718646,<0.07564633275546291,<0.08111308307896872,<0.08697490026177834,<0.093260334688322,<0.1,<0.10722672220103231,<0.11497569953977356,<0.12328467394420659,<0.13219411484660287,<0.14174741629268048,<0.1519911082952933,<0.16297508346206452,<0.1747528400007685,<0.1873817422860385,<0.2009233002565048,<0.21544346900318845,<0.23101297000831605,<0.24770763559917114,<0.26560877829466867,<0.2848035868435802,<0.30538555088334157,<0.32745491628777285,<0.3511191734215131,<0.37649358067924676,<0.40370172585965536,<0.4328761281083057,<0.4641588833612782,<0.49770235643321137,<0.5336699231206312,<0.572236765935022,<0.6135907273413176,<0.6579332246575682,<0.7054802310718645,<0.7564633275546291,<0.8111308307896873,<0.8697490026177834,<0.9326033468832199,<1.0
QCD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9630343445030682,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,2.975473201257717,3.3011846410090055,3.3011846410090055,3.3011846410090055,3.3011846410090055,3.3011846410090055,3.3011846410090055,3.3011846410090055,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479,3.349373937707479
ttbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.1266744525668041,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.2600338905212301,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875
ttH,0.0026623067571138847,0.0039044048124295687,0.005242956166008143,0.005242956166008143,0.005242956166008143,0.005242956166008143,0.005242956166008143,0.005242956166008143,0.005242956166008143,0.005242956166008143,0.005242956166008143,0.005242956166008143,0.007000268448362066,0.007000268448362066,0.007000268448362066,0.007759504843703954,0.009291260187075495,0.011335851883792334,0.011335851883792334,0.011335851883792334,0.012560666907973443,0.013716634154965235,0.013716634154965235,0.013716634154965237,0.014878678598927981,0.014878678598927981,0.016205072166185108,0.016205072166185108,0.016205072166185108,0.019802923157795412,0.020969234025851508,0.02096923402585151,0.022294582593883793,0.023472747305170898,0.023847176735800422,0.023847176735800422,0.02525277640769465,0.027392932736649996,0.028404318506923612,0.028404318506923612,0.031045214750116904,0.03146079769557981,0.03268003785552285,0.0373554329309512,0.0373554329309512,0.0373554329309512,0.0373554329309512,0.0387005975414538,0.0387005975414538,0.0387005975414538,0.0387005975414538,0.0387005975414538,0.0409224053663406,0.0409224053663406,0.04459744788960339,0.045896210099446846,0.04772745190862573,0.04895966114808353,0.05141800524612281,0.05141800524612281,0.05141800524612281,0.05141800524612281,0.05254832681993185,0.05254832681993185,0.05254832681993185,0.05254832681993185,0.053642175975604264,0.053642175975604264,0.05482650245157625,0.05547142362649403,0.05675816245813305,0.057461897031623396,0.05863352993066794,0.060141009811555866,0.06216539012576143,0.06216539012576143,0.06216539012576143,0.06216539012576143,0.06216539012576143,0.06216539012576144,0.06216539012576144,0.06216539012576144,0.06216539012576144,0.06358011638751566,0.06358011638751566,0.06358011638751566,0.06358011638751566,0.06358011638751566,0.06358011638751566,0.06468470897428387,0.06468470897428387,0.06468470897428387,0.06468470897428387,0.06468470897428387,0.06468470897428387,0.06468470897428387,0.06468470897428387,0.06468470897428387,0.06468470897428387,0.06468470897428387
singlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wjets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674
Zjets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028
EWKZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442
ggF,0.045983414386496536,0.045983414386496536,0.08636943474539588,0.08636943474539588,0.08636943474539588,0.10778408978696732,0.10778408978696732,0.12813955097687849,0.12813955097687849,0.17782239937901256,0.17782239937901256,0.17782239937901256,0.17782239937901256,0.1988837538305986,0.1988837538305986,0.19888375383059861,0.19888375383059861,0.19888375383059861,0.19888375383059861,0.22529798187659,0.22529798187659,0.22529798187659,0.2435527983448585,0.24355279834485846,0.24355279834485846,0.24355279834485846,0.24355279834485846,0.271696577837711,0.271696577837711,0.271696577837711,0.271696577837711,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.2840267489860189,0.3284728593638968,0.34700492218460055,0.34700492218460055,0.34700492218460055,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003,0.3711581551418003
